"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
201310	68048.1	10215.3	365.31	141.304	141304	268.133	6503.1	6069.56	72834.7	0.0463845	0.1
209393	619223	1540.35	876.375	67.9867	67986.7	167.634	8193.65	7647.41	91768.9	0.0369516	0.1
195593	539163	1793.77	804.745	69.4802	69480.2	170.198	8079.11	7540.5	90486	0.0374862	0.1
218978	122339	7439	471.501	111.07	111070	238.631	6884.55	6425.58	77106.9	0.0439428	0.1
217837	115064	7722.65	460.361	113.696	113696	241.905	6845.25	6388.9	76666.8	0.0441852	0.1
177302	4866.21	19723.6	52.2708	387.768	387768	286.948	4597.16	4290.68	51488.2	0.0618314	0.1
200210	568752	1690.82	830.872	68.8672	68867.2	169.135	8123.84	7582.25	90987	0.0372759	0.1
218677	120167	7521.75	468.251	111.828	111828	239.591	6873.04	6414.84	76978	0.0440135	0.1
230789	714627	1316.63	964.162	66.7164	66716.4	165.545	8308.85	7754.93	93059.2	0.0364274	0.1
202859	584236	1641.61	844.722	68.5771	68577.1	168.637	8146.06	7602.99	91235.9	0.0371721	0.1
176894	4830.63	19774.4	52.0126	388.93	388930	286.796	4586.85	4281.06	51372.7	0.0619301	0.1
204237	591957	1618.13	851.669	68.4395	68439.5	168.402	8156.87	7613.08	91356.9	0.0371218	0.1
203927	590240	1623.29	850.122	68.4697	68469.7	168.453	8154.48	7610.85	91330.2	0.0371329	0.1
201050	67525.2	10252.6	363.941	141.799	141799	268.483	6497.82	6064.63	72775.6	0.0464197	0.1
177841	4914.01	19656.5	52.6172	386.218	386218	287.149	4610.84	4303.45	51641.4	0.0617008	0.1
199199	562591	1711.25	825.392	68.9882	68988.2	169.343	8114.78	7573.79	90885.5	0.0373183	0.1
178693	4991.56	19550.4	53.1785	383.729	383729	287.467	4632.59	4323.75	51885	0.0614935	0.1
181752	5292.73	19169.1	55.3518	374.384	374384	288.604	4712.2	4398.06	52776.7	0.0607409	0.1
190247	46295.6	12061.7	298.112	170.195	170195	283.361	6225.37	5810.35	69724.1	0.0482913	0.1
207756	610816	1563.53	868.731	68.1211	68121.1	167.861	8182.53	7637.02	91644.3	0.037003	0.1
192294	50485.1	11653.4	313.019	162.92	162920	280.399	6290.39	5871.03	70452.4	0.0478348	0.1
207057	80362.1	9414.35	395.072	131.361	131361	260.281	6614.41	6173.45	74081.4	0.0456512	0.1
204770	594891	1609.39	854.314	68.3883	68388.3	168.314	8160.93	7616.86	91402.4	0.037103	0.1
206846	606050	1576.98	864.407	68.1992	68199.2	167.993	8176.14	7631.06	91572.7	0.0370325	0.1
174075	4598.09	20125.9	50.3189	396.673	396673	285.74	4516.6	4215.5	50585.9	0.0626065	0.1
198044	61619.1	10695.4	347.767	147.914	147914	272.515	6434.38	6005.42	72065	0.0468459	0.1
208215	83097.9	9254.25	401.114	129.514	129514	258.639	6636.33	6193.91	74326.9	0.0455088	0.1
171756	4422.11	20416.1	49.0277	402.69	402690	284.87	4460.04	4162.71	49952.5	0.0631562	0.1
214654	644932	1473.44	899.877	67.6015	67601.5	166.99	8226.57	7678.13	92137.6	0.0368005	0.1
171575	4408.9	20438.8	48.9304	403.146	403146	284.802	4455.68	4158.63	49903.6	0.0631988	0.1
213830	193887	5342.46	551.188	93.6936	93693.6	213.263	7198.43	6718.53	80622.4	0.0420793	0.1
213447	195691	5301.02	552.69	93.3789	93378.9	212.746	7205.3	6724.95	80699.4	0.0420399	0.1
202396	581592	1649.8	842.35	68.6253	68625.3	168.719	8142.32	7599.5	91194	0.0371895	0.1
215339	648146	1465.47	902.825	67.5559	67555.9	166.915	8230.58	7681.87	92182.5	0.0367822	0.1
203673	588824	1627.58	848.847	68.4948	68494.8	168.496	8152.51	7609.01	91308.1	0.0371421	0.1
